datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,1,1e-07,0.02,0.298337
float32,1,1,1,1e-07,0.02,0.298337
float32,1,1,1,1e-07,0.02,0.298337
float32,2,1,1,0,inf,0.472731
float32,2,1,1,1e-07,0.04,0.472731
float32,2,1,1,0,inf,0.472731
float32,4,1,1,1e-07,0.08,1.40077
float32,4,1,1,0,inf,1.40077
float32,4,1,1,0,inf,1.40077
float32,8,1,1,1e-07,0.16,1.80165
float32,8,1,1,0,inf,1.80165
float32,8,1,1,0,inf,1.80165
float32,16,1,1,1e-07,0.32,4.12495
float32,16,1,1,1e-07,0.32,4.12495
float32,16,1,1,1e-07,0.32,4.12495
float32,32,1,1,2e-07,0.32,7.01391
float32,32,1,1,1e-07,0.64,7.01391
float32,32,1,1,1e-07,0.64,7.01391
float32,64,1,1,2e-07,0.64,16.0503
float32,64,1,1,2e-07,0.64,16.0503
float32,64,1,1,2e-07,0.64,16.0503
float32,128,1,1,4e-07,0.64,30.349
float32,128,1,1,4e-07,0.64,30.349
float32,128,1,1,4e-07,0.64,30.349
float32,256,1,1,7e-07,0.731429,64.1158
float32,256,1,1,7e-07,0.731429,64.1158
float32,256,1,1,8e-07,0.64,64.1158
float32,512,1,1,1.4e-06,0.731429,128.653
float32,512,1,1,1.4e-06,0.731429,128.653
float32,512,1,1,1.4e-06,0.731429,128.653
float32,1024,1,1,3.7e-06,0.553514,259.581
float32,1024,1,1,2.9e-06,0.706207,259.581
float32,1024,1,1,4.7e-06,0.435745,259.581
float32,2048,1,1,7.8e-06,0.525128,515.527
float32,2048,1,1,6e-06,0.682667,515.527
float32,2048,1,1,5e-06,0.8192,515.527
float32,4096,1,1,9.8e-06,0.835918,1024.21
float32,4096,1,1,9.8e-06,0.835918,1024.21
float32,4096,1,1,9.8e-06,0.835918,1024.21
float32,8192,1,1,1.96e-05,0.835918,2028.9
float32,8192,1,1,1.82e-05,0.90022,2028.9
float32,8192,1,1,1.81e-05,0.905193,2028.9
float32,16384,1,1,5.11e-05,0.641252,4063.18
float32,16384,1,1,3.91e-05,0.838056,4063.18
float32,16384,1,1,3.91e-05,0.838056,4063.18
float32,32768,1,1,7.26e-05,0.9027,8171.63
float32,32768,1,1,7.26e-05,0.9027,8171.63
float32,32768,1,1,7.25e-05,0.903945,8171.63
float32,65536,1,1,0.000146,0.897753,16380.3
float32,65536,1,1,0.0001945,0.673892,16380.3
float32,65536,1,1,0.0001461,0.897139,16380.3
float32,131072,1,1,0.000308,0.851117,32748.4
float32,131072,1,1,0.0002991,0.876443,32748.4
float32,131072,1,1,0.0002989,0.877029,32748.4
float32,262144,1,1,0.0008116,0.645993,65639
float32,262144,1,1,0.0006807,0.770219,65639
float32,262144,1,1,0.000639,0.820482,65639
float32,524288,1,1,0.0015857,0.66127,131120
float32,524288,1,1,0.0012066,0.869034,131120
float32,524288,1,1,0.0012017,0.872577,131120
float32,1048576,1,1,0.0024379,0.860229,262116
float32,1048576,1,1,0.0028817,0.727748,262116
float32,1048576,1,1,0.002647,0.792275,262116
float32,2097152,1,1,0.0049954,0.839633,523780
float32,2097152,1,1,0.0059946,0.69968,523780
float32,2097152,1,1,0.0054378,0.771324,523780
float32,4194304,1,1,0.0135181,0.620546,1.04627e+06
float32,4194304,1,1,0.0104505,0.802699,1.04627e+06
float32,4194304,1,1,0.0103791,0.808221,1.04627e+06
float32,8388608,1,1,0.0223532,0.750551,2.08328e+06
float32,8388608,1,1,0.022195,0.755901,2.08328e+06
float32,8388608,1,1,0.0202361,0.829074,2.08328e+06
float32,16777216,1,1,0.0427452,0.784987,4.10116e+06
float32,16777216,1,1,0.0447916,0.749123,4.10116e+06
float32,16777216,1,1,0.0474656,0.706921,4.10116e+06
float32,33554432,1,1,0.111657,0.601029,7.77894e+06
float32,33554432,1,1,0.092948,0.722004,7.77894e+06
float32,33554432,1,1,0.0911035,0.736622,7.77894e+06
float32,67108864,1,1,0.205838,0.652056,1.3108e+07
float32,67108864,1,1,0.299465,0.448191,1.3108e+07
float32,67108864,1,1,0.291758,0.460031,1.3108e+07
