datatype,n,stride,aligned,time_s,gflops
float32,1,1,0,2.24e-07,0.00892857
float32,1,1,0,5.3e-08,0.0377358
float32,1,1,0,5.8e-08,0.0344828
float32,2,1,0,7e-08,0.0571429
float32,2,1,0,6.5e-08,0.0615385
float32,2,1,0,6.9e-08,0.057971
float32,4,1,0,8.9e-08,0.0898876
float32,4,1,0,1.01e-07,0.0792079
float32,4,1,0,7.7e-08,0.103896
float32,8,1,0,1.36e-07,0.117647
float32,8,1,0,1.29e-07,0.124031
float32,8,1,0,7.6e-08,0.210526
float32,16,1,0,1.52e-07,0.210526
float32,16,1,0,1.39e-07,0.230216
float32,16,1,0,1.29e-07,0.248062
float32,32,1,0,2.11e-07,0.303318
float32,32,1,0,2.11e-07,0.303318
float32,32,1,0,2.07e-07,0.309179
float32,64,1,0,3.63e-07,0.352617
float32,64,1,0,3.51e-07,0.364672
float32,64,1,0,3.51e-07,0.364672
float32,128,1,0,6.22e-07,0.411576
float32,128,1,0,5.94e-07,0.430976
float32,128,1,0,6.42e-07,0.398754
float32,256,1,0,1.237e-06,0.413905
float32,256,1,0,1.228e-06,0.416938
float32,256,1,0,1.233e-06,0.415247
float32,512,1,0,2.375e-06,0.431158
float32,512,1,0,2.418e-06,0.42349
float32,512,1,0,2.412e-06,0.424544
float32,1024,1,0,4.49e-06,0.456125
float32,1024,1,0,4.5e-06,0.455111
float32,1024,1,0,4.483e-06,0.456837
float32,2048,1,0,8.943e-06,0.458012
float32,2048,1,0,8.94e-06,0.458166
float32,2048,1,0,8.929e-06,0.45873
float32,4096,1,0,2.5771e-05,0.317877
float32,4096,1,0,2.5719e-05,0.318519
float32,4096,1,0,2.4395e-05,0.335807
float32,8192,1,0,4.9824e-05,0.328838
float32,8192,1,0,4.8292e-05,0.339269
float32,8192,1,0,5.1972e-05,0.315247
float32,16384,1,0,9.2801e-05,0.3531
float32,16384,1,0,6.6769e-05,0.490767
float32,16384,1,0,0.000105358,0.311016
float32,32768,1,0,0.000125281,0.523112
float32,32768,1,0,0.000124442,0.526639
float32,32768,1,0,0.000124572,0.526089
float32,65536,1,0,0.000255546,0.51291
float32,65536,1,0,0.000270949,0.483752
float32,65536,1,0,0.000250237,0.523791
float32,131072,1,0,0.000535335,0.489682
float32,131072,1,0,0.000506114,0.517954
float32,131072,1,0,0.000830151,0.315779
float32,262144,1,0,0.00110257,0.475516
float32,262144,1,0,0.0011365,0.461318
float32,262144,1,0,0.00189869,0.276132
float32,524288,1,0,0.00235218,0.445788
float32,524288,1,0,0.00228017,0.459867
float32,524288,1,0,0.00197425,0.531127
float32,1048576,1,0,0.00390907,0.536483
float32,1048576,1,0,0.00397477,0.527616
float32,1048576,1,0,0.00415399,0.504852
float32,2097152,1,0,0.00783415,0.535387
float32,2097152,1,0,0.00873859,0.479975
float32,2097152,1,0,0.00982298,0.426989
float32,4194304,1,0,0.0168661,0.497364
float32,4194304,1,0,0.0173212,0.484297
float32,4194304,1,0,0.0160129,0.523866
float32,8388608,1,0,0.033381,0.502597
float32,8388608,1,0,0.0397204,0.422382
float32,8388608,1,0,0.0351952,0.47669
float32,16777216,1,0,0.062711,0.535065
float32,16777216,1,0,0.0655337,0.512018
float32,16777216,1,0,0.0645036,0.520195
float32,33554432,1,0,0.128668,0.521566
float32,33554432,1,0,0.125393,0.535188
float32,33554432,1,0,0.125666,0.534027
float32,67108864,1,0,0.258526,0.519166
float32,67108864,1,0,0.256936,0.522377
float32,67108864,1,0,0.250795,0.53517
